"Geo Point";"Geo Shape";"EQ_NOM_EQUIPEMENT";"EQ_GESTIONNAIRE";"EQ_SITE_WEB";"EQ_TELEPHONE";"EQ_ACCES_METRO";"EQ_ACCES_BUS";"NUMERO";"LIB_OFF";"ID_SECTEUR_POSTAL";"EQ_VILLE";"EQ_SECTEUR";"EQ_QUARTIER"
"43.6131154799, 1.44132596855";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.441325968547289, 43.61311547992354]}\"";"INSTITUTO CERVANTES";"Association";"www.toulouse.cervantes.es/fr";"05 61 62 80 72";"Campans-Caffarelli (B) / Jeanne d'Arc (B)";"15, 16, 29, 45, 70 (Concorde)";"0031";"RUE DES CHALETS";"31000";"TOULOUSE";"1";"1.3"
"43.5889078048, 1.44598153883";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.445981538834316, 43.588907804816344]}\"";"LE CRATERE";"Association";"www.cinemalecratere.com";"05 61 53 50 53";"Palais de Justice, Saint-Michel Marcel-Langer (B)";"12";"0095";"GRANDE-RUE SAINT MICHEL";"31400";"TOULOUSE";"5";"5.3"
"43.6090280357, 1.44397015941";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.443970159406245, 43.60902803565171]}\"";"CINEMA ABC";"Association";"www.abc-toulouse.net";"05 61 21 20 46";"Jeanne - D'Arc (B)";"ncv, 15, 16, 23, 29, 38, 42, 44, 45, 70";"0013";"RUE SAINT BERNARD";"31000";"TOULOUSE";"1";"1.1"
"43.6070950061, 1.44214871334";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.442148713343085, 43.60709500608423]}\"";"CINEMATHEQUE DE TOULOUSE";"Association";"www.lacinemathequedetoulouse.com";"05 62 30 30 10";"Capitole (A)";"ncv";"0069";"RUE DU TAUR";"31000";"TOULOUSE CEDEX 6";"1";"1.1"
"43.564536829, 1.39907346879";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.399073468794984, 43.56453682897309]}\"";"CENTRE CULTUREL ALBAN MINVILLE";"Mairie de Toulouse - DGA Culture";"www.albanminville.toulouse.fr";"05 61 43 60 20";"Bellefontaine (A)";"14";"0001";"PL MARTIN LUTHER KING";"31100";"TOULOUSE";"6";"6.3"
"43.6045606901, 1.44782533145";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.447825331452886, 43.60456069009703]}\"";"GAUMONT WILSON";"Structure commerciale";"http://www.gaumont.fr/";"08 92 69 66 96";"Métro Jean Jaurès (A,  B)";"ncv, 14, 16, 22, 23, 29, 38";"0003";"PL DU PDT THOMAS WILSON";"31000";"TOULOUSE";"1";"1.1"
"43.6169062717, 1.45614778194";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.456147781935832, 43.61690627166683]}\"";"LIEU COMMUN / PLAN 9";"Association";"www.lieu-commun.fr";"05 61 23 80 57";"Marengo-SNCF (A)";"38, 39, 42 (Arrêt Arago)";"0025";"RUE D ARMAGNAC";"31500";"TOULOUSE";"4";"4.1"
"43.6040155909, 1.44678619581";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.446786195805814, 43.60401559088308]}\"";"L'UTOPIA";"Association";"www.cinemas-utopia.org";"05 61 21 22 11";"Jean-Jaurès (A, B), Capitole (A)";"ncv";"0024";"RUE MONTARDY";"31000";"TOULOUSE";"1";"1.1"
"43.5649276508, 1.40129170989";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.401291709888563, 43.56492765083248]}\"";"LE METRO";"Structure commerciale";"";"05 61 43 60 20";"Bellefontaine (A)";"";"TOUT";"ALL DE BELLEFONTAINE";"31100";"TOULOUSE";"6";"6.3"
"43.6055542685, 1.44807262145";"\"{\"\"type\"\": \"\"Point\"\", \"\"coordinates\"\": [1.448072621453646, 43.6055542685165]}\"";"UGC CINEMA";"Structure commerciale";"http://www.ugc.fr";"08 92 70 00 00";"Métro Jean Jaurès (A,  B)";"ncv, 14, 16, 22, 23, 29, 38";"0009";"ALL DU PRESIDENT ROOSEVELT";"31000";"TOULOUSE";"1";"1.1"
